V1	V2
PF3D7_0100100	GO:0020002,GO:0020013,GO:0020030,GO:0020033,GO:0020035,GO:0050839,GO:0098609
PF3D7_0100200	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0100400	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036,GO:0046812
PF3D7_0100600	GO:0020002,GO:0020033
PF3D7_0100800	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0100900	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0101000	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0101100	GO:0020036
PF3D7_0101200	GO:0020036
PF3D7_0101300	GO:0016021,GO:0020036,GO:0042000
PF3D7_0101600	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0101800	GO:0020013,GO:0020036
PF3D7_0101900	GO:0020002,GO:0020033
PF3D7_0102200	GO:0005515,GO:0020002,GO:0020003,GO:0020020,GO:0020026,GO:0050776,GO:1903561
PF3D7_0102300	GO:0020011,GO:0043657
PF3D7_0102500	GO:0008201,GO:0020009,GO:0033691,GO:0044409,GO:0098609,GO:1903561
PF3D7_0102600	GO:0006468,GO:0020036,GO:0044003
PF3D7_0102700	GO:0009986
PF3D7_0102900	GO:0004815,GO:0005634,GO:0006422,GO:0042803
PF3D7_0103100	GO:0005794,GO:0015031,GO:0042147
PF3D7_0103200	GO:0005345,GO:0006863,GO:0015211,GO:0015860,GO:0016021
PF3D7_0103600	GO:0003724,GO:0005634,GO:0005737,GO:0016887,GO:0020011,GO:0043138,GO:0043139
PF3D7_0103800	GO:0005200,GO:0005869,GO:0020036,GO:0045177
PF3D7_0104000	GO:0009986,GO:0044409
PF3D7_0104100	GO:0009986,GO:0016021,GO:0020005,GO:0045177,GO:0045178,GO:0052553
PF3D7_0104200	GO:0008525,GO:0008526,GO:0015914,GO:0016021,GO:0020003,GO:0044164,GO:2001139
PF3D7_0104300	GO:0005634,GO:0006511,GO:0006897,GO:0042493
PF3D7_0104400	GO:0019288,GO:0020011,GO:0051745
PF3D7_0104700	GO:0016021
PF3D7_0104800	GO:0005886,GO:0015181,GO:0015809,GO:0015819,GO:0016021,GO:0071944
PF3D7_0105200	GO:0003729,GO:0005739
PF3D7_0105300	GO:0003785,GO:0008179
PF3D7_0105700	GO:0003729,GO:0005634
PF3D7_0105800	GO:0005634
PF3D7_0106100	GO:0005634,GO:0046961
PF3D7_0106300	GO:0005388,GO:0006816,GO:0042493
PF3D7_0106600	GO:0044538
PF3D7_0106700	GO:0005886
PF3D7_0106800	GO:0003924,GO:0005829
PF3D7_0106900	GO:0020011,GO:0042493
PF3D7_0107000	GO:0000278,GO:0005813
PF3D7_0107200	GO:0004518,GO:0005634
PF3D7_0107400	GO:0005739
PF3D7_0107500	GO:0005886,GO:0016021,GO:0042493,GO:0055088
PF3D7_0107600	GO:0004672,GO:0005524,GO:0010998
PF3D7_0107700	GO:0004579,GO:0009986,GO:0020011,GO:0033644,GO:0044164
PF3D7_0107800	GO:0004518,GO:0005515,GO:0006281
PF3D7_0107900	GO:0020011
PF3D7_0108000	GO:0004175,GO:0006511,GO:0019774
PF3D7_0108300	GO:0003729,GO:0030430,GO:0044228
PF3D7_0108400	GO:0042493
PF3D7_0108500	GO:0005634,GO:0020036
PF3D7_0108600	GO:0020036
PF3D7_0108700	GO:0020011
PF3D7_0109000	GO:0005515,GO:0070258
PF3D7_0109100	GO:0005788,GO:0044312
PF3D7_0109300	GO:0005783,GO:0005886,GO:0009922
PF3D7_0109400	GO:0007021
PF3D7_0109500	GO:0008080
PF3D7_0109800	GO:0004826,GO:0005634,GO:0006432,GO:0042493
PF3D7_0109850	GO:0016021,GO:0020011
PF3D7_0110100	GO:0003746,GO:0006414
PF3D7_0110200	GO:0005739
PF3D7_0110400	GO:0005634,GO:0005665,GO:0006366
PF3D7_0110500	GO:0005634
PF3D7_0110600	GO:0016308,GO:0016773,GO:0030306,GO:0042493,GO:0046854
PF3D7_0110700	GO:0005634,GO:0031497,GO:0042393,GO:0051082
PF3D7_0110800	GO:0000993,GO:0051123,GO:0097550
PF3D7_0110900	GO:0005829
