GeneID	Pooled.screen.phenotype
PF3D7_1340700	A.HS.Sensitive
PF3D7_1118400	A.HS.Sensitive
PF3D7_0623100	A.HS.Sensitive
PF3D7_1308300	A.HS.Sensitive
PF3D7_1356700	A.HS.Sensitive
PF3D7_1331500	A.HS.Sensitive
PF3D7_0703600	A.HS.Sensitive
PF3D7_1119100	A.HS.Sensitive
PF3D7_0806200	A.HS.Sensitive
PF3D7_0312500	A.HS.Sensitive
PF3D7_1243600	A.HS.Sensitive
PF3D7_1108700	A.HS.Sensitive
PF3D7_1311600	A.HS.Sensitive
PF3D7_1355300	A.HS.Sensitive
PF3D7_0523900	A.HS.Sensitive
PF3D7_1352200	A.HS.Sensitive
PF3D7_1445500	A.HS.Sensitive
PF3D7_1465200	A.HS.Sensitive
PF3D7_1008900	A.HS.Sensitive
PF3D7_1314900	A.HS.Sensitive
PF3D7_1024900	A.HS.Sensitive
PF3D7_0218300	A.HS.Sensitive
PF3D7_0602100	A.HS.Sensitive
PF3D7_0217000	A.HS.Sensitive
PF3D7_1319400	A.HS.Sensitive
PF3D7_0903200	A.HS.Sensitive
PF3D7_1130100	A.HS.Sensitive
PF3D7_1337200	A.HS.Sensitive
PF3D7_1138500	A.HS.Sensitive
PF3D7_1115500	A.HS.Sensitive
PF3D7_1125600	A.HS.Sensitive
PF3D7_1021000	A.HS.Sensitive
PF3D7_1102500	A.HS.Sensitive
PF3D7_1451800	A.HS.Sensitive
PF3D7_0319000	A.HS.Sensitive
PF3D7_0420200	A.HS.Sensitive
PF3D7_1210300	A.HS.Sensitive
PF3D7_0211500	A.HS.Sensitive
PF3D7_0515700	A.HS.Sensitive
PF3D7_0831600	A.HS.Sensitive
PF3D7_1302600	A.HS.Sensitive
PF3D7_1241600	A.HS.Sensitive
PF3D7_1328600	A.HS.Sensitive
PF3D7_1312800	A.HS.Sensitive
PF3D7_1119600	A.HS.Sensitive
PF3D7_1239100	A.HS.Sensitive
PF3D7_1468200	A.HS.Sensitive
PF3D7_1237500	A.HS.Sensitive
PF3D7_0922100	A.HS.Sensitive
PF3D7_0902000	A.HS.Sensitive
PF3D7_0804000	A.HS.Sensitive
PF3D7_0913300	A.HS.Sensitive
PF3D7_0207000	A.HS.Sensitive
PF3D7_0818500	A.HS.Sensitive
PF3D7_1344800	A.HS.Sensitive
PF3D7_1371900	A.HS.Sensitive
PF3D7_0409000	A.HS.Sensitive
PF3D7_0731100	A.HS.Sensitive
PF3D7_1216900	A.HS.Sensitive
PF3D7_1346200	A.HS.Sensitive
PF3D7_1369400	A.HS.Sensitive
PF3D7_1210200	A.HS.Sensitive
PF3D7_0627400	A.HS.Sensitive
PF3D7_1200800	A.HS.Sensitive
PF3D7_0730800	A.HS.Sensitive
PF3D7_1033200	A.HS.Sensitive
PF3D7_1128000	A.HS.Sensitive
PF3D7_1439900	A.HS.Sensitive
PF3D7_1331400	A.HS.Sensitive
PF3D7_0608800	A.HS.Sensitive
PF3D7_1446200	A.HS.Sensitive
PF3D7_0902100	A.HS.Sensitive
PF3D7_1463100	A.HS.Sensitive
PF3D7_1208200	A.HS.Sensitive
PF3D7_0201500	A.HS.Sensitive
PF3D7_0104000	A.HS.Sensitive
PF3D7_0302800	A.HS.Sensitive
PF3D7_1208000	A.HS.Sensitive
PF3D7_1456400	A.HS.Sensitive
PF3D7_1307100	A.HS.Sensitive
PF3D7_1224000	A.HS.Sensitive
PF3D7_1137300	A.HS.Sensitive
PF3D7_1222100	A.HS.Sensitive
PF3D7_1320500	A.HS.Sensitive
PF3D7_1322400	A.HS.Sensitive
PF3D7_0106800	A.HS.Sensitive
PF3D7_1315400	A.HS.Sensitive
PF3D7_1203000	A.HS.Sensitive
PF3D7_0728800	A.HS.Sensitive
PF3D7_1037300	HS.and.CG.phenotype
PF3D7_0806500	HS.and.CG.phenotype
PF3D7_0217400	HS.and.CG.phenotype
PF3D7_0202300	HS.and.CG.phenotype
PF3D7_1363200	HS.and.CG.phenotype
PF3D7_1416900	HS.and.CG.phenotype
PF3D7_0525900	HS.and.CG.phenotype
PF3D7_0402200	HS.and.CG.phenotype
PF3D7_0715400	HS.and.CG.phenotype
PF3D7_0925600	HS.and.CG.phenotype
PF3D7_0509400	HS.and.CG.phenotype
PF3D7_1340600	HS.and.CG.phenotype
PF3D7_1211300	HS.and.CG.phenotype
PF3D7_1309400	HS.and.CG.phenotype
PF3D7_0714000	HS.and.CG.phenotype
PF3D7_1456900	HS.and.CG.phenotype
PF3D7_0818700	HS.and.CG.phenotype
PF3D7_0824700	HS.and.CG.phenotype
PF3D7_1145100	HS.and.CG.phenotype
PF3D7_0916100	HS.and.CG.phenotype
PF3D7_0818800	HS.and.CG.phenotype
PF3D7_0202500	HS.and.CG.phenotype
PF3D7_1411300	HS.and.CG.phenotype
PF3D7_0706700	HS.and.CG.phenotype
PF3D7_0110800	HS.and.CG.phenotype
PF3D7_1453700	HS.and.CG.phenotype
PF3D7_0625800	not.classified
PF3D7_0816500	not.classified
PF3D7_1103400	not.classified
PF3D7_1465400	not.classified
PF3D7_0610600	not.classified
PF3D7_0523400	not.classified
PF3D7_0710400	not.classified
PF3D7_0504900	not.classified
PF3D7_1031800	not.classified
PF3D7_0220000	not.classified
PF3D7_1247200	not.classified
PF3D7_1019000	not.classified
PF3D7_0719400	not.classified
PF3D7_0704300	not.classified
PF3D7_1479600	not.classified
PF3D7_1222500	not.classified
PF3D7_1101900	not.classified
PF3D7_0303000	not.classified
PF3D7_1318300	not.classified
PF3D7_0820200	not.classified
PF3D7_0424700	not.classified
PF3D7_1330400	not.classified
PF3D7_0714400	not.classified
PF3D7_1254500	not.classified
PF3D7_1446900	not.classified
PF3D7_1367400	not.classified
PF3D7_0418600	not.classified
PF3D7_0913500	not.classified
PF3D7_1464500	not.classified
PF3D7_1344100	not.classified
PF3D7_0308100	not.classified
PF3D7_0318700	not.classified
PF3D7_0809200	not.classified
PF3D7_1248100	not.classified
PF3D7_0526300	not.classified
PF3D7_1131400	not.classified
PF3D7_1326500	not.classified
PF3D7_1209900	not.classified
PF3D7_0304200	not.classified
PF3D7_1412400	not.classified
PF3D7_1327900	not.classified
PF3D7_0630700	not.classified
PF3D7_0808400	not.classified
PF3D7_1429800	not.classified
PF3D7_0219900	not.classified
PF3D7_0905700	not.classified
PF3D7_0214800	not.classified
PF3D7_1347000	not.classified
PF3D7_1417600	not.classified
PF3D7_0905300	not.classified
PF3D7_1457400	not.classified
PF3D7_0605000	not.classified
PF3D7_1103000	not.classified
PF3D7_0818900	not.classified
PF3D7_0219700	not.classified
PF3D7_1411800	not.classified
PF3D7_0721400	not.classified
PF3D7_1437000	not.classified
PF3D7_0920800	not.classified
PF3D7_1319100	not.classified
PF3D7_1471200	not.classified
PF3D7_0208800	not.classified
PF3D7_0522800	not.classified
PF3D7_1417200	not.classified
PF3D7_1313100	not.classified
PF3D7_0511300	not.classified
PF3D7_1212700	not.classified
PF3D7_1340900	not.classified
PF3D7_1226800	not.classified
PF3D7_1021300	not.classified
PF3D7_1356400	not.classified
PF3D7_1431800	not.classified
