chr	insertion_site	norm_reads_5'	norm_reads_3'	QIseq_Run	Sample_pool_ID
chr10	738417	9	0	Run_P3	"LMPP_5:SMPP_34"
chr8	282228	10	7	Run_P3	"LMPP_6:SMPP_35"
chr10	452616	19	15	Run_P3	"LMPP_4:SMPP_47"
chr12	637955	43	0	Run_P3	"LMPP_6:SMPP_38"
chr10	1403417	0	17	Run_P3	"LMPP_6:SMPP_39"
chr13	1396488	9	10	Run_P3	"LMPP_7:SMPP_44"
chr7	565460	0	20	Run_P3	"LMPP_7:SMPP_42"
chr2	79289	0	15	Run_P3	"LMPP_14:SMPP_68"
chr4	912486	2718	2020	Run_P3	"LMPP_11:SMPP_51"
chr8	1068019	71	34	Run_P3	"LMPP_10:SMPP_8"
chr11	906024	0	53	Run_P3	"LMPP_8:SMPP_46"
chr7	962459	12	16	Run_P3	"LMPP_15:SMPP_69"
chr2	470183	550	146	Run_P3	"LMPP_2:SMPP_25_1"
chr4	521723	0	12	Run_P3	"LMPP_9:SMPP_10"
chr10	1406359	0	185	Run_P3	"LMPP_8:SMPP_46"
chr13	430618	0	170	Run_P3	"LMPP_5:SMPP_25_2"
chr11	14671	0	48	Run_P3	"LMPP_3:SMPP_32"
chr8	823722	436	351	Run_P3	"LMPP_8:SMPP_48"
chr3	293708	0	47	Run_P3	"LMPP_13:SMPP_61"
chr12	2189067	24	12	Run_P3	"LMPP_15:SMPP_69"
chr7	843768	0	20	Run_P3	"LMPP_12:SMPP_55"
chr11	1738076	3718	2635	Run_P3	"LMPP_10:SMPP_4"
chr1	549013	11	50	Run_P3	"LMPP_12:SMPP_55"
chr6	753801	0	72	Run_P3	"LMPP_7:SMPP_44"
chr13	994068	9	27	Run_P3	"LMPP_6:SMPP_39"
chr9	287656	0	1796	Run_P3	"LMPP_1:SMPP_19"
chr7	702655	0	10	Run_P3	"LMPP_12:SMPP_55"
chr10	163390	19	0	Run_P3	"LMPP_5:SMPP_34"
chr5	652528	14	0	Run_P3	"LMPP_11:SMPP_59"
chr3	102300	3405	24	Run_P3	"LMPP_11:SMPP_59"
chr14	693619	40	126	Run_P3	"LMPP_8:SMPP_49"
chr3	349370	5518	2559	Run_P3	"LMPP_4:SMPP_47"
chr7	100994	20	0	Run_P3	"LMPP_4:SMPP_47"
chr3	921342	0	292	Run_P3	"LMPP_6:SMPP_38"
chr9	422744	0	11	Run_P3	"LMPP_13:SMPP_65"
chr9	112065	5	0	Run_P3	"LMPP_10:SMPP_54"
chr14	1241365	1789	1595	Run_P3	"LMPP_7:SMPP_43"
chr13	635606	12405	12164	Run_P3	"LMPP_13:SMPP_65"
chr3	742675	0	36	Run_P3	"LMPP_16:SMPP_1"
chr9	1073580	0	20	Run_P3	"LMPP_10:SMPP_4"
chr10	1672591	0	12	Run_P3	"LMPP_13:SMPP_61"
chr8	986676	44	15	Run_P3	"LMPP_3:SMPP_23"
chr14	289660	14746	2087	Run_P3	"LMPP_15:SMPP_3"
chr13	2842441	26	0	Run_P3	"LMPP_4:SMPP_37"
chr14	1879453	72	0	Run_P3	"LMPP_8:SMPP_46"
chr7	1322573	0	82	Run_P3	"LMPP_12:SMPP_56"
chr10	924537	19	2044	Run_P3	"LMPP_1:SMPP_18"
chr4	837677	27063	10258	Run_P3	"LMPP_8:SMPP_46"
chr11	1009877	8	0	Run_P3	"LMPP_13:SMPP_65"
chr3	712034	587	3085	Run_P3	"LMPP_13:SMPP_65"
chr9	697747	0	14	Run_P3	"LMPP_16:SMPP_1"
chr12	1647417	50	0	Run_P3	"LMPP_4:SMPP_36"
chr6	1373882	0	162	Run_P3	"LMPP_6:SMPP_40"
chr9	1378602	442	191	Run_P3	"LMPP_9:SMPP_9"
chr8	1103367	0	10	Run_P3	"LMPP_9:SMPP_5"
chr1	172473	0	112	Run_P3	"LMPP_13:SMPP_64"
chr7	727393	6	235	Run_P3	"LMPP_11:SMPP_53"
chr14	562652	0	46	Run_P3	"LMPP_15:SMPP_12"
chr13	854317	267	329	Run_P3	"LMPP_14:SMPP_66"
chr10	946879	74	18	Run_P3	"LMPP_4:SMPP_47"
chr14	1548663	7	13	Run_P3	"LMPP_12:SMPP_56"
chr6	317421	0	52	Run_P3	"LMPP_15:SMPP_3"
chr12	42797	12	0	Run_P3	"LMPP_4:SMPP_36"
chr8	1005071	15	0	Run_P3	"LMPP_13:SMPP_61"
chr13	1276037	19849	12138	Run_P3	"LMPP_10:SMPP_8"
chr10	1131020	7009	6075	Run_P3	"LMPP_13:SMPP_65"
chr13	2317819	2499	1336	Run_P3	"LMPP_9:SMPP_5"
chr11	693728	0	394	Run_P3	"LMPP_9:SMPP_10"
chr13	1368541	11	0	Run_P3	"LMPP_7:SMPP_43"
chr6	939199	11	71	Run_P3	"LMPP_4:SMPP_33"
chr3	602960	0	28	Run_P3	"LMPP_1:SMPP_18"
chr10	155268	16	0	Run_P3	"LMPP_12:SMPP_56"
chr3	340627	424	517	Run_P3	"LMPP_1:SMPP_19"
chr12	822994	6	0	Run_P3	"LMPP_12:SMPP_57"
chr12	2182081	0	6038	Run_P3	"LMPP_16:SMPP_2"
chr11	1734353	214	226	Run_P3	"LMPP_8:SMPP_48"
chr3	222821	85	0	Run_P3	"LMPP_1:SMPP_21"
chr12	40383	7	327	Run_P3	"LMPP_15:SMPP_70"
chr12	189747	9	12	Run_P3	"LMPP_12:SMPP_52"
chr6	1301899	1992	1536	Run_P3	"LMPP_2:SMPP_24"
chr14	1772482	1061	21	Run_P3	"LMPP_15:SMPP_12"
chr3	197865	0	35	Run_P3	"LMPP_10:SMPP_4"
chr13	2874778	0	234	Run_P3	"LMPP_8:SMPP_49"
chr8	399272	0	8	Run_P3	"LMPP_1:SMPP_21"
chr13	2406618	57	68	Run_P3	"LMPP_12:SMPP_55"
chr14	2722106	9	76	Run_P3	"LMPP_4:SMPP_36"
chr12	75871	0	9	Run_P3	"LMPP_11:SMPP_53"
chr5	65486	0	10	Run_P3	"LMPP_4:SMPP_36"
chr6	601345	0	27	Run_P3	"LMPP_2:SMPP_24"
chr2	362669	51	12	Run_P3	"LMPP_10:SMPP_8"
chr5	860123	548	91	Run_P3	"LMPP_16:SMPP_6"
chr5	702517	74	30	Run_P3	"LMPP_4:SMPP_36"
chr7	87819	0	98	Run_P3	"LMPP_10:SMPP_4"
chr5	137230	0	7	Run_P3	"LMPP_2:SMPP_25_1"
chr6	621880	0	109	Run_P3	"LMPP_16:SMPP_1"
chr13	2828645	202	372	Run_P3	"LMPP_14:SMPP_62"
chr9	987435	0	271	Run_P3	"LMPP_15:SMPP_3"
chr14	1663251	17	285	Run_P3	"LMPP_9:SMPP_9"
chr5	1157208	0	86	Run_P3	"LMPP_16:SMPP_2"
chr13	251911	0	12	Run_P3	"LMPP_10:SMPP_8"
chr13	1064019	1720	362	Run_P3	"LMPP_10:SMPP_4"
chr13	905315	387	0	Run_P3	"LMPP_3:SMPP_28"
chr7	746657	77	0	Run_P3	"LMPP_11:SMPP_59"
chr10	1017195	4106	626	Run_P3	"LMPP_15:SMPP_3"
chr9	1263925	72	0	Run_P3	"LMPP_8:SMPP_49"
chr4	1184084	28	14	Run_P3	"LMPP_5:SMPP_34"
chr12	2056729	351	0	Run_P3	"LMPP_5:SMPP_34"
chr9	862840	0	258	Run_P3	"LMPP_9:SMPP_10"
chr2	603444	6	262	Run_P3	"LMPP_4:SMPP_47"
chr13	1516448	156	173	Run_P3	"LMPP_15:SMPP_70"
chr1	94180	12	0	Run_P3	"LMPP_6:SMPP_40"
