Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr1	PF3D7_0100100	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	-1.706	2	26.92		37	5.7	6492	29510	37126	+	204	98	4.55	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr1	PF3D7_0100200	rifin	Non - Mutable in CDS	0.182	-2.624	0	4.37		12	12.05	996	38982	40207	-	597	183	4.72	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0100300	"erythrocyte membrane protein 1, PfEMP1"	Non - Mutable in CDS	0.663	-2.461	0	10.19		34	8.53	3984	42367	46507	-	204	98	3.9	N/A	N/A	N/A		
chr1	PF3D7_0100400	rifin	Non - Mutable in CDS	0.984	-1.854	0	0.98	tentative	7	6.26	1119	50363	51636	+	597	183	6.21	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0100500	"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"	Non - Mutable in CDS	0.146	-2.885	0	1.46	tentative	2	13.07	153	53128	53280	-	1	0	5	N/A	N/A	N/A		
chr1	PF3D7_0100600	rifin	Non - Mutable in CDS	0.888	-2.239	0	0.79		8	7.41	1080	53778	55006	-	597	183	9.05	antigenic variation	N/A	host cell plasma membrane		
chr1	PF3D7_0100700	"Plasmodium exported protein, unknown function, fragment"	Non - Mutable in CDS	0.122	0	0	0	tentative	3	14.71	204	56690	56893	-	80	46	10.25	N/A	N/A	N/A		
chr1	PF3D7_0100800	rifin	Non - Mutable in CDS	0.206	-2.632	0	5		12	11.59	1035	59782	61013	+	597	183	6.86	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0100900	rifin	Mutable in CDS	1	1.011	1	146.18		8	7.6	1053	62197	63410	-	597	183	6.99	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0101000	rifin	Non - Mutable in CDS	0.703	-2.524	0	3.35		9	8.36	1077	65827	66999	-	597	183	5.97	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
